ipst,dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files
ibfub1acq,0,26,0,0,0,0.754674850225685,0,0,0.600008,3,1,61,2,1620740441,-0.7780152036830672
o3tw01niq,0,2.3,0,0,1,-0.6954500398762936,0,0,1,2,0,18,1,1620740441,-3.2299932216233636
lb3s04o4q,0,0,0,0,0,-1.6157022275450914,0,0,0.461772,1,0,25,2,1620740441,-0.7780152036830672
j8ig04kzq,0,2,0,0,0,-0.7662158670999736,0,0,0.483716,0,1,65,4,1620740441,0.7728496207883843
ibnc06020,1,42.6,1,1,1,1.0574249102091995,1,2,9.63,3,1,3587,6,1620740441,1.3008477278950876
ib9m01bdq,0,31,0,0,0,0.8631336151017894,0,0,0.633472,3,0,43,2,1620740441,-0.7780152036830672
ibfp15q6q,0,26,0,0,0,0.754674850225685,0,0,0.600288,3,1,76,2,1620740441,-0.7780152036830672
la9k03deq,0,1,1,0,0,-1.0724141621312375,0,0,0.456404,1,0,18,2,1620740441,-0.7780152036830672
j8i0bwv1q,0,34,0,1,2,0.919839605356715,1,1,2.044128,0,1,2124,2,1620740441,-0.7780152036830672
labm01c6q,0,0,0,0,0,-1.6157022275450914,0,0,0.4547560000000001,1,0,15,2,1620740441,-0.7780152036830672
ico501lyq,0,4,1,0,0,-0.3922108615141664,0,0,0.475616,3,1,38,2,1620740441,-0.7780152036830672
j8r014030,1,69,0,1,2,1.3470427631721529,1,1,2.809844,0,1,3237,5,1620740441,1.0921440788857568
j8i09ub1q,0,34,0,1,2,0.919839605356715,1,1,2.0444,0,1,2388,2,1620740441,-0.7780152036830672
j8hm06j7q,0,2,0,0,2,-0.7662158670999736,0,0,0.481216,0,1,59,2,1620740441,-0.7780152036830672
j8i0b8edq,0,34,0,1,2,0.919839605356715,1,1,2.078196,0,1,1822,2,1620740441,-0.7780152036830672
la8117hrq,0,19,1,0,0,0.5600260186195137,0,0,0.528184,1,0,81,2,1620740441,-0.7780152036830672
j8i0bhkyq,0,34,0,1,2,0.919839605356715,1,1,2.043332,0,1,2482,2,1620740441,-0.7780152036830672
lb2402zhq,0,0,1,0,0,-1.6157022275450914,0,0,0.462372,1,0,21,2,1620740441,-0.7780152036830672
j8i0b9pxq,0,34,0,1,2,0.919839605356715,1,1,2.046384,0,1,1601,2,1620740441,-0.7780152036830672
