metric,Training Results
name,mem_bin
kind,classifier
scores,"{'train_acc': 0.98, 'train_loss': 0.05, 'test_acc': 0.98, 'test_loss': 0.04}"
preds,[1 0 0 ... 1 0 0]
proba,"[[3.3775652e-03 9.9650061e-01 1.2181280e-04 2.7309603e-09]
 [1.0000000e+00 4.6434143e-15 2.7531190e-28 0.0000000e+00]
 [1.0000000e+00 4.5993700e-33 0.0000000e+00 0.0000000e+00]
 ...
 [3.7335057e-03 9.9616712e-01 9.9429155e-05 2.6119793e-09]
 [1.0000000e+00 2.8989382e-11 3.7852835e-20 1.7440767e-29]
 [1.0000000e+00 4.6433969e-15 2.7531296e-28 0.0000000e+00]]"
y_true,[1 0 0 ... 1 0 0]
y_pred,[1 0 0 ... 1 0 0]
matrix,"[[4778   81    2    1]
 [   3  943    1    0]
 [   3    0   20    1]
 [   0    0    1    5]]"
kfold,"[0.9788813  0.98573059 0.98059362 0.9765982  0.98400915 0.9800114
 0.96858937 0.9788692  0.97487152 0.98515135]"
history,<tensorflow.python.keras.callbacks.History object at 0x7f9a100a3350>
