ipst,mem_bin
id0d0qseq,0.0
j8i0csxhq,1.0
icha10nhq,0.0
ibcw07d6q,0.0
idb858a2q,0.0
o52301080,0.0
ic8k02010,0.0
icdb67030,0.0
id7r43010,0.0
ib2k73nuq,0.0
iefi04esq,0.0
icfdh7cfq,0.0
idnz03oaq,0.0
ibh714gsq,0.0
ie1na6020,0.0
icok34jaq,0.0
id3z04ckq,0.0
iaau410f0,0.0
idg209fzq,0.0
ie0l36ihq,0.0
idci37i9q,0.0
ics458rmq,0.0
la9k01u4q,0.0
idaq01b5q,0.0
idok06kbq,0.0
id0o27g3q,0.0
iefk04huq,0.0
ic5za0010,0.0
j8r201040,0.0
idcc88e5q,0.0
ic9t33dbq,0.0
icii60s5q,0.0
obxq01130,0.0
icpf07uaq,0.0
ie1c3qbcq,0.0
id0k72010,0.0
ob4260010,0.0
ibjg13clq,0.0
iegg05fhq,0.0
ie6x47f1q,0.0
ie9210n0q,0.0
iabk02090,0.0
icmdp20f0,0.0
icwy06nkq,0.0
icwy11kaq,0.0
ich702jvq,0.0
idi503efq,0.0
iegj42nuq,0.0
idj502030,1.0
o5hkcf070,0.0
ic5za0p1q,0.0
ibwi100f0,0.0
icq154vlq,0.0
id9g01030,1.0
iaal01040,1.0
idxr29040,1.0
ibcda6050,0.0
idwc44xgq,0.0
icco05040,1.0
idca09g2q,0.0
ibu92t010,0.0
id0r34ogq,0.0
ibf006040,1.0
ic2m05etq,0.0
id0b70010,0.0
id7322040,1.0
ibl954yuq,0.0
ibwu01phq,0.0
j8c107020,0.0
idp1a4hiq,0.0
idy648l6q,0.0
ida601020,1.0
id5902abq,0.0
idy633tiq,0.0
icpw20010,0.0
icua0z010,0.0
laa005n0q,0.0
iaaub1050,0.0
idnxm2020,1.0
j8q617040,1.0
ie7l09snq,0.0
icn138cqq,1.0
id5d25byq,0.0
icok20hsq,0.0
ie7s03buq,0.0
ocpkm1040,0.0
ich306080,0.0
iehq12spq,0.0
icjf04010,1.0
iedv02020,1.0
iehl05qdq,0.0
idgr07dtq,0.0
icpf32k3q,0.0
ib4w10h7q,0.0
ibcda5020,0.0
idci03f9s,0.0
ibwm82010,0.0
o5ge01040,0.0
iabf02jtq,0.0
ibtx01ecq,0.0
icfc71req,0.0
lbmxz3b8q,0.0
lbiy83hxq,0.0
idxr07040,1.0
id1v04cdq,1.0
o4dd070e0,0.0
ids0g0jqq,0.0
ib915mggq,0.0
icha28gmq,0.0
id0o43010,0.0
ic9t46gcq,0.0
ibv522exq,0.0
icok16j6q,0.0
obt801080,0.0
ib4a87010,1.0
icnu13030,1.0
ib8d3a010,1.0
icoc11fsq,0.0
iddc13pjq,0.0
ib91m9ekq,0.0
ic2m03dkq,0.0
iac767inq,0.0
ic5y11msq,0.0
iehl05q9q,0.0
j8uw38070,0.0
j8i0a4ktq,1.0
icvba2bsq,0.0
ictn12gvq,0.0
ib1b40clq,0.0
ibtp48iyq,0.0
idcj05k2q,0.0
j97c13njq,1.0
ibtw02giq,0.0
ieag87aoq,0.0
iabk020c0,0.0
idci37i8q,0.0
j8r004030,1.0
icau87kvq,1.0
idxb4b010,1.0
laay01k9q,0.0
id0r90dxq,0.0
ie1c4b010,0.0
iege10090,0.0
id0o36ehq,0.0
icrn03030,0.0
