ipst,memory
id0d0qseq,0.479804
j8i0csxhq,2.045452
icha10nhq,1.022532
ibcw07d6q,1.234064
idb858a2q,0.480632
o52301080,0.45862
ic8k02010,1.056516
icdb67030,0.9057
id7r43010,0.854512
ib2k73nuq,0.837992
iefi04esq,0.48662
icfdh7cfq,1.02452
idnz03oaq,0.481524
ibh714gsq,0.4629720000000001
ie1na6020,0.854224
icok34jaq,0.838052
id3z04ckq,0.465164
iaau410f0,0.854408
idg209fzq,0.9864
ie0l36ihq,0.482284
idci37i9q,1.023032
ics458rmq,0.83796
la9k01u4q,0.4547319999999999
idaq01b5q,1.045416
idok06kbq,1.02206
id0o27g3q,0.863136
iefk04huq,1.0241559999999998
ic5za0010,0.8541120000000001
j8r201040,0.658032
idcc88e5q,1.0242639999999998
ic9t33dbq,0.881856
icii60s5q,1.043144
obxq01130,0.458008
icpf07uaq,0.464524
ie1c3qbcq,1.025936
id0k72010,1.0271
ob4260010,0.47626
ibjg13clq,0.4814520000000001
iegg05fhq,0.838368
ie6x47f1q,1.043568
ie9210n0q,1.045256
iabk02090,0.465044
icmdp20f0,0.858244
icwy06nkq,0.987
icwy11kaq,0.986564
ich702jvq,0.730588
idi503efq,0.83806
iegj42nuq,1.024524
idj502030,2.808972
o5hkcf070,0.4806760000000001
ic5za0p1q,0.8387760000000001
ibwi100f0,0.461876
icq154vlq,0.479764
id9g01030,6.82428
iaal01040,2.807188
idxr29040,3.5225760000000004
ibcda6050,0.867416
idwc44xgq,0.8381200000000001
icco05040,3.525324
idca09g2q,1.025492
ibu92t010,1.0258200000000002
id0r34ogq,1.023948
ibf006040,2.78334
ic2m05etq,0.8382040000000001
id0b70010,1.026684
id7322040,4.226196
ibl954yuq,0.8651120000000001
ibwu01phq,0.716124
j8c107020,0.541984
idp1a4hiq,1.015472
idy648l6q,0.8378559999999999
ida601020,2.813456
id5902abq,1.042776
idy633tiq,0.8387120000000001
icpw20010,1.025772
icua0z010,1.105968
laa005n0q,0.45506
iaaub1050,0.8539040000000001
idnxm2020,3.501344
j8q617040,3.534024
ie7l09snq,0.83846
icn138cqq,2.0633
id5d25byq,1.023856
icok20hsq,0.838348
ie7s03buq,1.024704
ocpkm1040,0.49604
ich306080,0.8541920000000001
iehq12spq,1.024252
icjf04010,3.522064
iedv02020,3.5889
iehl05qdq,0.8382
idgr07dtq,0.576912
icpf32k3q,0.464568
ib4w10h7q,0.838424
ibcda5020,0.867024
idci03f9s,1.025052
ibwm82010,1.028512
o5ge01040,0.498444
iabf02jtq,0.585064
ibtx01ecq,1.025308
icfc71req,1.0252
lbmxz3b8q,1.5127959999999998
lbiy83hxq,0.455952
idxr07040,3.491768
id1v04cdq,2.094716
o4dd070e0,0.472568
ids0g0jqq,0.83854
ib915mggq,1.016964
icha28gmq,1.0225879999999998
id0o43010,1.025916
ic9t46gcq,0.8828719999999999
ibv522exq,1.024324
icok16j6q,0.8386
obt801080,0.476868
ib4a87010,2.819208
icnu13030,2.7818080000000003
ib8d3a010,3.48936
icoc11fsq,0.986568
iddc13pjq,1.02488
ib91m9ekq,1.023948
ic2m03dkq,0.838316
iac767inq,0.481724
ic5y11msq,1.0224719999999998
iehl05q9q,0.8383120000000001
j8uw38070,0.501592
j8i0a4ktq,2.042936
icvba2bsq,0.882832
ictn12gvq,1.027644
ib1b40clq,0.8379040000000001
ibtp48iyq,1.043336
idcj05k2q,1.023628
j97c13njq,2.044632
ibtw02giq,0.5349
ieag87aoq,0.8378200000000001
iabk020c0,0.464296
idci37i8q,0.46484
j8r004030,2.795748
icau87kvq,2.060964
idxb4b010,3.504136
laay01k9q,0.4557640000000001
id0r90dxq,1.02572
ie1c4b010,1.026228
iege10090,0.854568
id0o36ehq,0.863028
icrn03030,0.518192
icmd24mjq,0.8383719999999999
icmp02oaq,0.88364
o523010g0,0.459212
id9927ghq,0.4644680000000001
ibu859h1q,0.47962
ibcd41030,2.842796
idwi44bbq,1.025088
ibu9hf010,1.026712
icn807aaq,2.059244
idp44gguq,1.025212
ic6dg3ksq,0.862936
ieg857010,1.024624
idci39btq,1.024416
icftc4010,1.027424
ibcy39pzq,0.8690319999999999
idx206c1q,0.84972
ic7418010,1.024636
ib91lnjyq,1.025448
j8i0bmrhq,2.04292
icrn07moq,0.461928
iaaue1040,0.8546879999999999
ibh714afq,0.458088
idx206boq,0.8591120000000001
icdm12030,3.511424
ich110qpq,1.023332
ic3s13cvq,0.838216
icu801040,2.780344
idi504c9q,0.8383440000000001
lc4e5bbgq,1.51388
ibuc01080,0.854492
idfu05gpq,0.881792
idov87v0q,0.48244
ib4w01imq,0.837784
ibzc16r4q,1.044792
ibdy06lxq,0.465088
ibcx01iaq,2.061164
ibyk05xtq,0.8828719999999999
ie6d01020,5.001252
ibv522evq,1.024116
icft49010,1.02636
ic3f28030,2.821524
ib914q010,1.027488
idi520agq,0.8829799999999999
icwa05020,2.779256
idup21ijq,1.024604
ic3t56j5q,2.059412
icqa97010,1.025684
ibqs06010,3.5507800000000005
ics334inq,1.023184
ie180d010,1.028592
icok22n7q,0.8382719999999999
idns04e7q,2.059508
ic4302w3q,1.023668
ib2k68xgq,0.8382280000000001
idda04sbq,0.8386399999999999
idfp01010,0.867308
ibct3zqtq,0.47702
o4si02020,0.59224
ie9m82r5q,2.062268
icqa59010,1.027808
ibc131etq,1.025856
ibwp02atq,1.045
idaq02poq,1.044516
ibyk07nbq,0.883092
icr311040,0.854564
idjl51t2q,0.464
idb731cjq,1.0241559999999998
ib3w44010,0.518292
icqr41ebq,1.025384
ib4m04010,3.580088
ib2k84ygq,0.8382200000000001
ie0l03jcq,0.465088
idp434010,1.0265959999999998
icg6bpbiq,1.024876
ibxa78ohq,0.838108
ib9j31d1q,1.021944
ic4531ziq,0.4830239999999999
ic7413jjq,1.015228
idgq03040,0.8655799999999999
ic3ma3jnq,1.0240360000000002
icaj11olq,2.045516
id3z04c8q,0.464808
lc9601cgq,0.463344
ib7711020,0.5403560000000001
idi103020,2.811044
ibh714fyq,0.459236
icqs01g6q,1.023624
ie0d03ghq,0.480468
idid01m8q,0.83834
ic3t16x1q,2.059924
ible05h7q,0.482232
j8sl07030,0.5394800000000001
icqs05esq,1.023392
ibbse2dzq,1.015744
idut38niq,0.48312
ic5v02aiq,0.510684
iefn02sfq,0.988204
icyr2i030,0.906164
o5hkbh030,0.480716
j8i0cnepq,2.04506
id7611010,2.814452
ie0l15i7q,0.98698
ie1306lpq,1.024756
ibtx64peq,1.016592
ice042vxq,0.479784
id0b35010,1.026884
ibca13o6q,1.044828
idc72e010,1.025276
ibh706h0q,0.511208
idms04iyq,0.838556
ic6x8q010,1.026684
icg6c0010,1.025748
iaac12020,1.13
iacr51010,4.22426
o5hd03070,0.502096
ief758wvq,0.482204
id9h01hvq,0.483664
idy62lcgq,0.838404
icau1cjcq,2.058796
o4lyc8010,0.492728
id0k59010,1.027156
icqa67s6q,1.0234
ie8609k0q,0.8379200000000001
icqa3n010,1.025756
ibv524m5q,1.02326
ib2k09onq,0.583964
ob1001asq,0.455784
lcpb05030,1.74112
ie8d02npq,0.98602
icv101bpq,1.025904
ibxa73jfq,0.838628
lb5502o4q,0.455208
ic3g05t5q,0.986592
la8mlvouq,1.921392
iduy18q5q,0.987128
ice1a1kjq,1.023948
ibbsq5010,0.866368
icpg14faq,0.499208
icir03j3q,1.041936
ibf013030,2.811988
la8016fbq,0.456404
idme01u6q,0.4821720000000001
iboi6dg6q,2.061504
idzh02010,0.963824
iac571bmq,1.02294
idy602dfq,0.8379840000000001
ic2821010,4.232264
icq144g4q,0.48304
icdm79040,3.489252
idgbd5020,3.5600160000000005
j8iva1r3q,0.464064
iaan07n4q,1.0245879999999998
idus08tcq,0.862456
icwz46020,2.116864
ic3m10dyq,1.0246959999999998
idor070a0,0.8543879999999999
ibcdb1150,0.854548
iehl05q8q,0.8379280000000001
icq110a5q,0.483244
ie1q35ijq,0.8838159999999999
idor10060,0.85446
idgv02010,3.849588
ic3s81f4q,0.838076
idc70ufhq,1.024
ibcz21drq,0.986248
id0i3c010,1.0277
ic0582010,4.5813760000000014
idq2bvreq,2.062088
ibtx93zqq,0.482804
ieg627yoq,1.024152
ic3g01qvq,0.985936
lbnj04d4q,0.462304
o57207010,0.5109600000000001
icyr1f010,0.906016
idc977010,1.024776
ico501lzq,0.4760680000000001
icft95emq,1.024968
ib913b010,1.0275040000000002
iac785prq,0.47654
idov0ee3q,0.482684
ib2k23ryq,0.57526
idtl01050,0.904152
idov35m4q,0.477084
ics328d8q,1.023872
iboe3fuvq,0.8478760000000001
o48z30020,0.483652
idbha9030,0.854456
id3z04ccq,0.4659680000000001
iehl04odq,0.8381879999999999
ic0554g4q,2.058244
j90zp1010,0.6694
ibs320030,3.4903800000000005
idsr05xxq,0.8825559999999999
idme01t6q,0.482888
idxf45020,5.244351999999999
idb711owq,1.025412
id5901eqq,1.043128
ic6xdchdq,0.838756
icas26010,3.5096199999999995
icq187y7q,0.481896
icq92n010,1.02724
ie8d06siq,0.987084
ib915h010,1.03018
ibsl25040,0.47806
ib8cadefq,2.061396
idg233mqq,0.98622
ibtq21gfq,1.045072
ie4n0y030,4.224832
idci01czq,1.024808
ob1001atq,0.462796
ibld48daq,0.481672
ice039k2q,0.4832399999999999
idr104i8q,0.882368
ibcna3avq,2.064508
ibt2b8030,0.610888
ibct11azq,0.48112
ieb349020,2.813832
ieec67020,2.78842
ib91mi010,1.027764
ibcx01hjq,2.092392
idju04020,1.3047959999999998
idiq06010,3.847092
ic5z06dtq,0.838348
ie0l23orq,0.46474
id9o46zcq,0.482236
ibtp20mkq,1.044756
ibcd05010,0.8668440000000001
ics462h4q,0.956864
ie1834010,1.027848
icpf07u9q,0.464068
icii47xtq,1.043892
ie0d14brq,0.480336
idmg04m1q,0.838424
idns59010,4.10584
ic5s15030,0.855024
ie184kntq,1.025456
id9o17ubq,0.483652
iehl05pzq,0.838
ie4n13040,2.820992
idkv22010,0.945848
o46j01040,0.4824600000000001
ieg812nsq,0.863972
icii17byq,1.043688
ibe405fhq,1.04552
iacd02neq,2.062592
idkv20020,0.945708
j8i0cllpq,2.044896
ichda9g8q,0.8381799999999999
idca51z8q,1.0235
icau23jaq,2.044044
icml03030,3.4908839999999994
ib2k58zkq,0.838556
ibfs04040,2.781684
ic5z03h3q,0.837908
id8i09dpq,1.043852
ib2kacuyq,0.838252
idux17j7q,1.024212
id9909akq,0.985976
iege07080,0.85426
idwi07010,1.026792
ibu94p010,1.025796
o4k19e020,0.475632
idgga1s9q,1.029376
id9o45csq,0.985288
ibct4rulq,0.48134
o4fo721k0,0.477872
ibcf13b3q,0.4598600000000001
ibl753awq,0.5724199999999999
ie1h74y1q,1.025728
ie1t02bhq,0.495796
o4j801160,0.474876
ib91qj010,1.030272
idw1050f0,0.859612
ids0c0i7q,0.837944
idg211guq,0.986324
ice134x7q,1.015436
idp625phq,1.023
ibwe08030,0.587008
idew01030,2.81838
ice00daqq,0.4825359999999999
ido214030,2.814804
ie1u0h020,0.905908
o58oa80y0,0.470504
iegj3lwhq,1.023796
iciie4saq,1.044028
idy63zoiq,0.838256
ibu9e9010,1.026064
ie1331m6q,1.024624
ibwk04b5q,0.463776
icg901c9q,0.633564
ids0h0j1q,0.736156
ichf03beq,1.023388
ibcd61120,0.854384
idg204quq,0.986284
ibcx04fzq,2.044864
idmg05woq,0.838324
idg267gmq,0.46514
icn806twq,2.060548
ic0577awq,2.057168
ic8n28ckq,0.667412
ibfd16040,2.781804
icr304flq,0.8382799999999999
iby839010,0.5342680000000001
o6fn010c0,0.4966
idnza3saq,0.479768
ic5lj3ufq,0.482616
ic8k05010,1.098208
ib9j1csmq,1.024748
idwg0zi8q,1.02526
idy655kxq,0.837884
ibe213x1q,1.045648
idy61rsqq,0.838404
icrn10010,0.5760000000000001
ibjb10k6q,0.8381
ibsm21060,0.535144
ic5m5h010,1.035268
icfc55010,1.033748
ibu836ncq,0.478968
iby816010,0.61092
ibct1mccq,0.481264
ibcna1xtq,0.480288
icwz29010,2.863024
idx5a5piq,0.838268
idut89dlq,0.479264
ie180qkzq,1.02368
ibzc21peq,1.044492
ie9m93020,2.772324
ic3s85jzq,0.83868
ibwm08010,1.028536
idg205rrq,0.465432
ibbq01mtq,0.731272
ie1h24g8q,1.02508
icf854010,1.0286959999999998
j8i0baemq,2.077636
idfu03o8q,0.8826440000000001
ibcx03vuq,2.043364
icxv21030,4.237032
iege160c0,0.854332
idci38c6q,1.022664
ich305070,0.85472
lce701jyq,0.4557600000000001
ie4n0d030,2.811176
icfs11wqq,0.458424
id1m01eqq,1.040612
idcd05u2q,1.024172
ibwi08090,0.462232
lb4c10n9q,0.4544760000000001
id0b38010,1.025796
ic6m4xohq,1.026436
idyq7b020,0.492188
ibvh03090,0.5156
ibwm19010,1.026832
ib4v23h2q,0.988692
ic2835010,4.240324
ich103k3q,1.024936
icii89jaq,1.04208
ie180cgiq,1.025752
ibzy01030,2.781892
idx5a4isq,0.838584
ic2i16040,3.793656
ibtx93zpq,0.4767520000000001
idmg08c7q,0.8380879999999999
ie7l03afq,0.8385
ief758wxq,0.479908
ic6x9r010,1.026708
icn401030,1.263364
j8ux06pkq,0.481664
iduy05qxq,0.464676
idca06010,1.026228
icqa81xpq,1.024568
ic5m39010,1.026984
ic5m6d010,1.027508
icqu01edq,2.063336
ibld94x9q,0.482364
icr898j0q,1.024144
ie0d43kkq,0.483244
ibht14mjq,0.838216
ibcd330f0,0.866808
ibh706hkq,0.322
idp636gyq,1.022844
j8dnc5010,1.83
ic5s030a0,0.854608
ibld01a5q,0.4804199999999999
idci41mcq,1.023552
ieav06d6q,2.045024
idy61mhqq,0.838376
icmdp3050,0.871144
j8vz01040,2.828404
idp538wqq,0.863524
ic1374dlq,2.060476
id1x09hrq,2.0449080000000004
ibu992liq,1.0262
idov36cfq,0.4807
idc93y010,1.0253
o5h701040,0.478172
idb734hpq,1.016672
ic6m5u010,1.027936
idsd01qwq,0.8821559999999999
icfdj3c3q,1.026
idow13010,1.026132
j8i0c0ooq,2.045396
iac532gvq,1.022364
idnza3weq,0.480236
iblc43idq,0.481764
