ipst,wallclock
id0d0qseq,40.0
j8i0csxhq,1549.0
icha10nhq,1052.0
ibcw07d6q,656.0
idb858a2q,23.0
o52301080,29.0
ic8k02010,226.0
icdb67030,505.0
id7r43010,350.0
ib2k73nuq,86.0
iefi04esq,31.0
icfdh7cfq,1570.0
idnz03oaq,49.0
ibh714gsq,24.0
ie1na6020,341.0
icok34jaq,172.0
id3z04ckq,63.0
iaau410f0,260.0
idg209fzq,199.0
ie0l36ihq,58.0
idci37i9q,1677.0
ics458rmq,148.0
la9k01u4q,22.0
idaq01b5q,701.0
idok06kbq,2430.0
id0o27g3q,168.0
iefk04huq,992.0
ic5za0010,318.0
j8r201040,143.0
idcc88e5q,1836.0
ic9t33dbq,100.0
icii60s5q,786.0
obxq01130,26.0
icpf07uaq,49.0
ie1c3qbcq,594.0
id0k72010,2084.0
ob4260010,42.0
ibjg13clq,36.0
iegg05fhq,147.0
ie6x47f1q,557.0
ie9210n0q,524.0
iabk02090,66.0
icmdp20f0,324.0
icwy06nkq,481.0
icwy11kaq,407.0
ich702jvq,95.0
idi503efq,140.0
iegj42nuq,835.0
idj502030,1689.0
o5hkcf070,60.0
ic5za0p1q,210.0
ibwi100f0,81.0
icq154vlq,34.0
id9g01030,7331.0
iaal01040,1658.0
idxr29040,3171.0
ibcda6050,251.0
idwc44xgq,181.0
icco05040,2822.0
idca09g2q,642.0
ibu92t010,2396.0
id0r34ogq,1948.0
ibf006040,1922.0
ic2m05etq,178.0
id0b70010,1057.0
id7322040,3722.0
ibl954yuq,121.0
ibwu01phq,72.0
j8c107020,73.0
idp1a4hiq,1092.0
idy648l6q,129.0
ida601020,2131.0
id5902abq,451.0
idy633tiq,133.0
icpw20010,1747.0
icua0z010,138.0
laa005n0q,16.0
iaaub1050,197.0
idnxm2020,2185.0
j8q617040,7384.0
ie7l09snq,117.0
icn138cqq,1077.0
id5d25byq,525.0
icok20hsq,85.0
ie7s03buq,702.0
ocpkm1040,47.0
ich306080,324.0
iehq12spq,625.0
icjf04010,2398.0
iedv02020,2870.0
iehl05qdq,139.0
idgr07dtq,72.0
icpf32k3q,55.0
ib4w10h7q,98.0
ibcda5020,583.0
idci03f9s,3139.0
ibwm82010,8144.0
o5ge01040,36.0
iabf02jtq,66.0
ibtx01ecq,1199.0
icfc71req,694.0
lbmxz3b8q,58.0
lbiy83hxq,20.0
idxr07040,3221.0
id1v04cdq,1419.0
o4dd070e0,33.0
ids0g0jqq,102.0
ib915mggq,409.0
icha28gmq,810.0
id0o43010,2217.0
ic9t46gcq,214.0
ibv522exq,1294.0
icok16j6q,120.0
obt801080,29.0
ib4a87010,1885.0
icnu13030,1656.0
ib8d3a010,1883.0
icoc11fsq,321.0
iddc13pjq,209.0
ib91m9ekq,455.0
ic2m03dkq,197.0
iac767inq,31.0
ic5y11msq,1357.0
iehl05q9q,156.0
j8uw38070,71.0
j8i0a4ktq,1856.0
icvba2bsq,166.0
ictn12gvq,1075.0
ib1b40clq,97.0
ibtp48iyq,436.0
idcj05k2q,1631.0
j97c13njq,2036.0
ibtw02giq,60.0
ieag87aoq,196.0
iabk020c0,61.0
idci37i8q,39.0
j8r004030,3553.0
icau87kvq,1014.0
idxb4b010,2719.0
laay01k9q,15.0
id0r90dxq,2495.0
ie1c4b010,2235.0
iege10090,341.0
id0o36ehq,168.0
icrn03030,43.0
icmd24mjq,162.0
icmp02oaq,80.0
o523010g0,28.0
id9927ghq,61.0
ibu859h1q,33.0
ibcd41030,2188.0
idwi44bbq,1063.0
ibu9hf010,2548.0
